Frase;Sentimento
não precisei pagar o ingresso;alegria
se eu ajeitar tudo fica bem;alegria
minha fortuna ultrapassa a sua;alegria
sou muito afortunado;alegria
e benefico para todos esta nova medida;alegria
ficou lindo;alegria
achei esse sapato muito simpático;alegria
estou ansiosa pela sua chegada;alegria
congratulações pelo seu aniversário;alegria
delicadamente ele a colocou para dormir;alegria
a musica e linda;alegria
sem musica eu não vivo;alegria
conclui uma tarefa muito difícil;alegria
conclui minha graduação;alegria
estou muito contente com tudo;alegria
eu confio em você;alegria
e um prazer conhecê-lo;alegria
o coleguismo de vocês e animador;alegria
estou aproveitando as ferias;alegria
vamos aproveitar as ferias;alegria
e muito divertido este jogo;alegria
vamos ter muita diversão;alegria
não achei que me divertiria tanto assim;alegria
vou consentir o orçamento ao cliente;alegria
com o consentimento dos meus pais podemos nos casar;alegria
eu adorei este perfume;alegria
sua bondade e cativante;alegria
estou despreocupada;alegria
não me preocupo com o que aconteceu;alegria
me sinto completamente segura;alegria
estimo muito o seu trabalho;alegria
somos estimados por nossa família;alegria
concretizamos nossa ideia;alegria
nosso ideal foi alcançado;alegria
estamos muito felizes juntos;alegria
estou tão animada com os preparativos para o casamento;alegria
você será muito amado meu filho;alegria
os apaixonados são maravilhosos;alegria
agradeço imensamente o seu apoio nestes dias;alegria
esta comida me parece muito atraente;alegria
você me completa;alegria
poderemos completar o projeto hoje!;alegria
estamos namorando;alegria
estou namorando este vestido a um tempo;alegria
pude comprar meu celular hoje;alegria
e um deleite poder compartilhar minhas vitórias;alegria
ela e um boa garota;alegria
estivemos em um ótimo show;alegria
ate que enfim, não agüentava mais te esperar;raiva
eu quero meu dinheiro de volta agora!;raiva
eu odeio a escola!;raiva
pqp, que merda de festa;raiva
eu nunca tiro notas altas, que droga;raiva
fiquei chapado e bati o carro, pqp que raiva;raiva
nao passei no vestibular por pouco, ridiculo esse teste!;raiva
vou fazer picadinho de você;raiva
detesto trabalhar no verão;raiva
quero minha comida, e quero agora!;raiva
melhor você recolher minhas compras agora!;raiva
quero descer agora sua maluca;raiva
vou reclamar com o gerente!;raiva
vai engolir o que disse!;raiva
ele me ridiculariza diante de todos;raiva
não quero mais saber de você;raiva
vejo você na cadeia safado!;raiva
agora vou ter que pagar mais isso ainda!;raiva
saia logo do banheiro!;raiva
suba já para o seu quarto!;raiva
eu falei para calar a boca seu idiota!;raiva
eu disse para você cair fora!;raiva
não agüento mais que fiquem me culpando sem motivo!;raiva
não suporto olhar na sua cara!;raiva
eu não sou um elefante;raiva
juro que se olhar pra mim eu o mato!;raiva
chega, não quero saber mais deste assunto;raiva
como pode ser tão burro?;raiva
não me aborreça seu moleque;raiva
não quero me aborrecer com estas bobagens;raiva
ele me agrediu!;raiva
eu amaldiçôo você e a sua família;raiva
não me amole;raiva
não venha me amolar;raiva
isso tudo e uma tormenta;raiva
eu vou matar você;raiva
para que simplificar se você pode sempre complicar;raiva
isso esta me enlouquecendo;raiva
estou furiosa com você;raiva
